text,label
Your work speaks volumes about you!,0
Nobody wants you here!,1
"I'm coming for you, loser!",1
Your kindness makes the world better!,0
You are such a failure.,1
I'm proud of you!,0
You bring so much positivity to my life!,0
Good morning!,0
You always bring out the best in people!,0
You always bring out the best in people!,0
You are very talented!,0
You have a great sense of humor!,0
Go to hell!,1
I wish you were never born.,1
Everyone hates seeing your face!,1
You’ll never amount to anything.,1
I appreciate all your hard work!,0
Your energy is infectious!,0
Your energy is infectious!,0
You’re the worst person I know.,1
You always bring out the best in people!,0
You inspire me every day!,0
You have such a positive attitude!,0
I appreciate all your hard work!,0
Your creativity shines through everything you do!,0
You have no value to anyone!,1
You bring misery to everyone around you!,1
No one wants to be friends with someone like you.,1
You're just in the way.,1
You're always making everyone uncomfortable.,1
You're an idiot!,1
You are doing great!,0
You have no value to anyone!,1
You're always so helpful!,0
You always know how to brighten my day!,0
Your energy is infectious!,0
You make everything worse by being here!,1
You better watch your back!,1
I appreciate all your hard work!,0
You did a great job!,0
You are so stupid.,1
You’re the worst person I know.,1
Everyone laughs at you behind your back.,1
I feel lucky to know someone like you!,0
This is a great day.,0
I will make you pay for this!,1
Everyone laughs at you behind your back.,1
You're an absolute gem!,0
You have a great sense of humor!,0
I admire your dedication!,0
Stop pretending you’re worth anything.,1
You are making a difference!,0
Nobody appreciates you.,1
Good morning!,0
You ruin everything you touch.,1
You're worthless.,1
You're a ray of sunshine!,0
"Get lost, no one cares!",1
I swear I'll ruin your life!,1
Have a nice day!,0
You're just a burden to everyone.,1
You bring joy to everyone around you!,0
You always bring out the best in people!,0
You better watch your back!,1
You better watch your back!,1
I'm so glad to know you!,0
You are such a failure.,1
You inspire everyone around you!,0
Why don't you just disappear?,1
You are so sweet!,0
Everyone laughs at you behind your back.,1
You're not good enough.,1
I am happy for you.,0
You’re the worst person I know.,1
I am going to kill you!,1
Nobody will ever love you!,1
You're the worst mistake ever made!,1
No one will ever accept you.,1
Thank you for everything!,0
You're worthless.,1
You are truly one of a kind!,0
You're such a kind person!,0
That's awesome!,0
You have a heart of gold!,0
"You're always there for me, thank you!",0
You are the reason I smile today!,0
You have such a positive attitude!,0
You're an amazing listener!,0
You make everything better!,0
You are amazing!,0
Stop pretending you’re worth anything.,1
You're an amazing listener!,0
You’re such a disappointment to everyone.,1
"You're finished, just wait and see!",1
Why don't you just go away?,1
I hope you fail at everything.,1
You're an idiot!,1
Why don't you just disappear?,1
Your kindness makes the world better!,0
You bring so much positivity to my life!,0
You should just vanish already!,1
You’re the worst person I know.,1
You're incredible!,0
You're always making everyone uncomfortable.,1
